datekey;date;year;quarter;month;week;day;productkey;productid;productname;category;subcategory;brand;customerkey;customerid;customername;location;gender;agegroup;channelkey;channeltype;salesamount;unitssold;rating;sentimentscore;productreturned
226;2023-08-14;2023;3;8;33;14;28;28;Product 28;Books;Subcat B;Brand X;95;95;Customer 95;Florida;Female;18-25;1;Website;4169.70;9;1;3.05;f
212;2023-07-31;2023;3;7;31;31;29;29;Product 29;Toys;Subcat C;Brand Y;27;27;Customer 27;Florida;Female;36-45;1;Website;381.48;3;4;3.84;f
201;2023-07-20;2023;3;7;29;20;36;36;Product 36;Clothing;Subcat A;Brand X;10;10;Customer 10;Texas;Male;18-25;1;Website;2131.28;8;4;4.36;f
2;2023-01-02;2023;1;1;1;2;17;17;Product 17;Home & Garden;Subcat C;Brand Y;90;90;Customer 90;Texas;Male;18-25;2;Mobile App;3456.54;9;2;3.32;t
61;2023-03-02;2023;1;3;9;2;4;4;Product 4;Toys;Subcat B;Brand X;46;46;Customer 46;Texas;Male;26-35;2;Mobile App;522.70;5;4;3.28;t
208;2023-07-27;2023;3;7;30;27;17;17;Product 17;Home & Garden;Subcat C;Brand Y;70;70;Customer 70;Texas;Male;18-25;1;Website;1486.96;4;2;4.99;f
91;2023-04-01;2023;2;4;13;1;27;27;Product 27;Home & Garden;Subcat A;Brand W;23;23;Customer 23;Florida;Female;46-55;2;Mobile App;144.72;2;4;3.14;f
1;2023-01-01;2023;1;1;52;1;37;37;Product 37;Home & Garden;Subcat B;Brand Y;56;56;Customer 56;New York;Male;26-35;2;Mobile App;4984.00;10;3;3.31;f
7;2023-01-07;2023;1;1;1;7;7;7;Product 7;Home & Garden;Subcat B;Brand W;90;90;Customer 90;Texas;Male;18-25;1;Website;1478.64;6;2;3.76;f
128;2023-05-08;2023;2;5;19;8;9;9;Product 9;Toys;Subcat A;Brand Y;3;3;Customer 3;Florida;Female;46-55;1;Website;3910.88;8;2;4.05;f
176;2023-06-25;2023;2;6;25;25;38;38;Product 38;Books;Subcat C;Brand Z;96;96;Customer 96;New York;Male;26-35;2;Mobile App;120.50;1;5;4.65;t
128;2023-05-08;2023;2;5;19;8;34;34;Product 34;Toys;Subcat B;Brand Z;100;100;Customer 100;New York;Male;18-25;1;Website;3470.48;8;4;4.87;f
248;2023-09-05;2023;3;9;36;5;33;33;Product 33;Books;Subcat A;Brand Y;63;63;Customer 63;Florida;Female;46-55;2;Mobile App;1834.15;5;5;4.38;t
326;2023-11-22;2023;4;11;47;22;19;19;Product 19;Toys;Subcat B;Brand W;75;75;Customer 75;Florida;Female;18-25;1;Website;1607.95;5;2;4.03;t
282;2023-10-09;2023;4;10;41;9;48;48;Product 48;Books;Subcat A;Brand X;92;92;Customer 92;New York;Male;36-45;1;Website;395.90;2;4;4.08;f
97;2023-04-07;2023;2;4;14;7;43;43;Product 43;Books;Subcat B;Brand W;11;11;Customer 11;Florida;Female;26-35;1;Website;3256.26;7;5;3.92;f
214;2023-08-02;2023;3;8;31;2;2;2;Product 2;Home & Garden;Subcat C;Brand Z;71;71;Customer 71;Florida;Female;26-35;2;Mobile App;404.40;5;5;3.55;f
14;2023-01-14;2023;1;1;2;14;13;13;Product 13;Books;Subcat B;Brand Y;62;62;Customer 62;Texas;Male;36-45;1;Website;405.32;4;3;3.15;f
263;2023-09-20;2023;3;9;38;20;32;32;Product 32;Home & Garden;Subcat C;Brand X;15;15;Customer 15;Florida;Female;18-25;2;Mobile App;330.84;6;5;4.42;f
57;2023-02-26;2023;1;2;8;26;21;21;Product 21;Clothing;Subcat A;Brand Y;62;62;Customer 62;Texas;Male;36-45;1;Website;316.32;3;3;4.58;f
233;2023-08-21;2023;3;8;34;21;14;14;Product 14;Toys;Subcat C;Brand Z;67;67;Customer 67;Florida;Female;36-45;1;Website;656.26;2;1;3.38;f
18;2023-01-18;2023;1;1;3;18;19;19;Product 19;Toys;Subcat B;Brand W;36;36;Customer 36;New York;Male;26-35;2;Mobile App;500.56;8;3;3.96;f
197;2023-07-16;2023;3;7;28;16;7;7;Product 7;Home & Garden;Subcat B;Brand W;58;58;Customer 58;Texas;Male;46-55;2;Mobile App;1857.24;6;5;3.04;f
84;2023-03-25;2023;1;3;12;25;2;2;Product 2;Home & Garden;Subcat C;Brand Z;68;68;Customer 68;New York;Male;46-55;2;Mobile App;1783.67;7;2;4.70;f
261;2023-09-18;2023;3;9;38;18;29;29;Product 29;Toys;Subcat C;Brand Y;46;46;Customer 46;Texas;Male;26-35;1;Website;2950.00;8;4;4.11;f
137;2023-05-17;2023;2;5;20;17;3;3;Product 3;Books;Subcat A;Brand W;63;63;Customer 63;Florida;Female;46-55;2;Mobile App;3439.71;9;5;4.69;t
138;2023-05-18;2023;2;5;20;18;28;28;Product 28;Books;Subcat B;Brand X;36;36;Customer 36;New York;Male;26-35;1;Website;426.96;3;3;4.95;f
231;2023-08-19;2023;3;8;33;19;3;3;Product 3;Books;Subcat A;Brand W;58;58;Customer 58;Texas;Male;46-55;1;Website;951.58;2;4;4.72;f
27;2023-01-27;2023;1;1;4;27;34;34;Product 34;Toys;Subcat B;Brand Z;76;76;Customer 76;New York;Male;26-35;2;Mobile App;512.32;2;3;4.45;t
95;2023-04-05;2023;2;4;14;5;44;44;Product 44;Toys;Subcat C;Brand X;15;15;Customer 15;Florida;Female;18-25;1;Website;2057.40;10;5;3.60;t
104;2023-04-14;2023;2;4;15;14;3;3;Product 3;Books;Subcat A;Brand W;78;78;Customer 78;Texas;Male;46-55;1;Website;2210.10;5;3;4.96;t
175;2023-06-24;2023;2;6;25;24;48;48;Product 48;Books;Subcat A;Brand X;10;10;Customer 10;Texas;Male;18-25;2;Mobile App;1613.92;8;4;3.06;t
224;2023-08-12;2023;3;8;32;12;26;26;Product 26;Clothing;Subcat C;Brand Z;82;82;Customer 82;Texas;Male;36-45;1;Website;2812.59;9;5;4.96;f
246;2023-09-03;2023;3;9;35;3;46;46;Product 46;Clothing;Subcat B;Brand Z;52;52;Customer 52;New York;Male;36-45;1;Website;1130.10;10;3;3.42;f
15;2023-01-15;2023;1;1;2;15;42;42;Product 42;Home & Garden;Subcat A;Brand Z;96;96;Customer 96;New York;Male;26-35;1;Website;3170.30;10;3;3.33;f
116;2023-04-26;2023;2;4;17;26;14;14;Product 14;Toys;Subcat C;Brand Z;86;86;Customer 86;Texas;Male;26-35;1;Website;1668.70;10;4;3.06;f
37;2023-02-06;2023;1;2;6;6;46;46;Product 46;Clothing;Subcat B;Brand Z;30;30;Customer 30;Texas;Male;18-25;1;Website;474.34;1;3;3.45;f
61;2023-03-02;2023;1;3;9;2;37;37;Product 37;Home & Garden;Subcat B;Brand Y;75;75;Customer 75;Florida;Female;18-25;2;Mobile App;105.95;1;1;4.59;f
332;2023-11-28;2023;4;11;48;28;36;36;Product 36;Clothing;Subcat A;Brand X;20;20;Customer 20;New York;Male;18-25;1;Website;650.20;4;4;3.52;f
234;2023-08-22;2023;3;8;34;22;7;7;Product 7;Home & Garden;Subcat B;Brand W;90;90;Customer 90;Texas;Male;18-25;1;Website;1184.96;8;2;3.22;f
58;2023-02-27;2023;1;2;9;27;12;12;Product 12;Home & Garden;Subcat A;Brand X;26;26;Customer 26;Texas;Male;26-35;2;Mobile App;329.82;6;5;4.58;f
251;2023-09-08;2023;3;9;36;8;32;32;Product 32;Home & Garden;Subcat C;Brand X;6;6;Customer 6;Texas;Male;26-35;2;Mobile App;2049.39;7;1;3.48;f
30;2023-01-30;2023;1;1;5;30;48;48;Product 48;Books;Subcat A;Brand X;98;98;Customer 98;Texas;Male;46-55;2;Mobile App;3137.44;8;4;3.31;f
76;2023-03-17;2023;1;3;11;17;6;6;Product 6;Clothing;Subcat A;Brand Z;92;92;Customer 92;New York;Male;36-45;2;Mobile App;1974.28;4;4;3.03;f
334;2023-11-30;2023;4;11;48;30;38;38;Product 38;Books;Subcat C;Brand Z;6;6;Customer 6;Texas;Male;26-35;2;Mobile App;2686.14;9;5;3.19;f
125;2023-05-05;2023;2;5;18;5;26;26;Product 26;Clothing;Subcat C;Brand Z;32;32;Customer 32;New York;Male;36-45;1;Website;1321.05;5;2;3.35;t
294;2023-10-21;2023;4;10;42;21;46;46;Product 46;Clothing;Subcat B;Brand Z;47;47;Customer 47;Florida;Female;36-45;2;Mobile App;1047.40;10;2;3.91;f
311;2023-11-07;2023;4;11;45;7;4;4;Product 4;Toys;Subcat B;Brand X;35;35;Customer 35;Florida;Female;18-25;1;Website;2600.80;8;1;3.85;f
326;2023-11-22;2023;4;11;47;22;23;23;Product 23;Books;Subcat C;Brand W;35;35;Customer 35;Florida;Female;18-25;1;Website;40.95;1;4;4.56;f
32;2023-02-01;2023;1;2;5;1;43;43;Product 43;Books;Subcat B;Brand W;58;58;Customer 58;Texas;Male;46-55;1;Website;3592.40;8;5;3.96;f
48;2023-02-17;2023;1;2;7;17;17;17;Product 17;Home & Garden;Subcat C;Brand Y;31;31;Customer 31;Florida;Female;26-35;2;Mobile App;2142.72;8;5;3.11;f
6;2023-01-06;2023;1;1;1;6;29;29;Product 29;Toys;Subcat C;Brand Y;75;75;Customer 75;Florida;Female;18-25;1;Website;3900.00;10;2;3.38;f
190;2023-07-09;2023;3;7;27;9;4;4;Product 4;Toys;Subcat B;Brand X;43;43;Customer 43;Florida;Female;46-55;1;Website;2760.73;7;2;4.37;f
310;2023-11-06;2023;4;11;45;6;13;13;Product 13;Books;Subcat B;Brand Y;96;96;Customer 96;New York;Male;26-35;2;Mobile App;1193.05;5;4;3.07;f
294;2023-10-21;2023;4;10;42;21;4;4;Product 4;Toys;Subcat B;Brand X;2;2;Customer 2;Texas;Male;36-45;1;Website;3800.90;10;4;3.68;f
251;2023-09-08;2023;3;9;36;8;34;34;Product 34;Toys;Subcat B;Brand Z;52;52;Customer 52;New York;Male;36-45;2;Mobile App;2377.44;8;3;4.58;f
252;2023-09-09;2023;3;9;36;9;8;8;Product 8;Books;Subcat C;Brand X;36;36;Customer 36;New York;Male;26-35;1;Website;3003.00;10;1;3.77;f
93;2023-04-03;2023;2;4;14;3;1;1;Product 1;Clothing;Subcat B;Brand Y;83;83;Customer 83;Florida;Female;46-55;2;Mobile App;1066.40;10;1;4.91;f
228;2023-08-16;2023;3;8;33;16;46;46;Product 46;Clothing;Subcat B;Brand Z;40;40;Customer 40;New York;Male;18-25;2;Mobile App;2740.68;9;2;3.19;f
131;2023-05-11;2023;2;5;19;11;27;27;Product 27;Home & Garden;Subcat A;Brand W;87;87;Customer 87;Florida;Female;36-45;1;Website;405.84;4;4;4.77;f
59;2023-02-28;2023;1;2;9;28;43;43;Product 43;Books;Subcat B;Brand W;62;62;Customer 62;Texas;Male;36-45;2;Mobile App;277.04;2;3;4.86;f
63;2023-03-04;2023;1;3;9;4;4;4;Product 4;Toys;Subcat B;Brand X;26;26;Customer 26;Texas;Male;26-35;2;Mobile App;988.45;5;3;4.36;f
227;2023-08-15;2023;3;8;33;15;1;1;Product 1;Clothing;Subcat B;Brand Y;7;7;Customer 7;Florida;Female;36-45;2;Mobile App;672.21;9;1;4.11;t
222;2023-08-10;2023;3;8;32;10;22;22;Product 22;Home & Garden;Subcat B;Brand Z;46;46;Customer 46;Texas;Male;26-35;2;Mobile App;912.30;5;2;3.85;f
312;2023-11-08;2023;4;11;45;8;11;11;Product 11;Clothing;Subcat C;Brand W;31;31;Customer 31;Florida;Female;26-35;2;Mobile App;153.82;2;4;3.50;f
165;2023-06-14;2023;2;6;24;14;28;28;Product 28;Books;Subcat B;Brand X;32;32;Customer 32;New York;Male;36-45;2;Mobile App;961.20;3;1;4.97;f
101;2023-04-11;2023;2;4;15;11;26;26;Product 26;Clothing;Subcat C;Brand Z;31;31;Customer 31;Florida;Female;26-35;1;Website;3603.28;8;2;3.12;f
124;2023-05-04;2023;2;5;18;4;46;46;Product 46;Clothing;Subcat B;Brand Z;51;51;Customer 51;Florida;Female;26-35;2;Mobile App;1924.01;11;5;4.76;f
313;2023-11-09;2023;4;11;45;9;36;36;Product 36;Clothing;Subcat A;Brand X;91;91;Customer 91;Florida;Female;26-35;1;Website;2660.84;7;3;3.03;f
118;2023-04-28;2023;2;4;17;28;39;39;Product 39;Toys;Subcat A;Brand W;42;42;Customer 42;Texas;Male;36-45;1;Website;660.34;2;3;4.79;f
205;2023-07-24;2023;3;7;30;24;12;12;Product 12;Home & Garden;Subcat A;Brand X;51;51;Customer 51;Florida;Female;26-35;1;Website;1071.84;3;5;4.00;f
32;2023-02-01;2023;1;2;5;1;49;49;Product 49;Toys;Subcat B;Brand Y;36;36;Customer 36;New York;Male;26-35;1;Website;434.94;2;1;3.18;f
86;2023-03-27;2023;1;3;13;27;42;42;Product 42;Home & Garden;Subcat A;Brand Z;30;30;Customer 30;Texas;Male;18-25;1;Website;4298.00;10;1;4.30;f
26;2023-01-26;2023;1;1;4;26;14;14;Product 14;Toys;Subcat C;Brand Z;87;87;Customer 87;Florida;Female;36-45;1;Website;368.52;4;4;4.83;t
106;2023-04-16;2023;2;4;15;16;16;16;Product 16;Clothing;Subcat B;Brand X;58;58;Customer 58;Texas;Male;46-55;2;Mobile App;1554.00;5;5;3.54;f
5;2023-01-05;2023;1;1;1;5;48;48;Product 48;Books;Subcat A;Brand X;32;32;Customer 32;New York;Male;36-45;2;Mobile App;536.19;3;3;3.55;f
98;2023-04-08;2023;2;4;14;8;47;47;Product 47;Home & Garden;Subcat C;Brand W;70;70;Customer 70;Texas;Male;18-25;2;Mobile App;750.80;4;2;4.52;f
285;2023-10-12;2023;4;10;41;12;33;33;Product 33;Books;Subcat A;Brand Y;56;56;Customer 56;New York;Male;26-35;1;Website;901.77;3;2;4.68;f
10;2023-01-10;2023;1;1;2;10;32;32;Product 32;Home & Garden;Subcat C;Brand X;3;3;Customer 3;Florida;Female;46-55;1;Website;1542.30;3;5;3.46;f
147;2023-05-27;2023;2;5;21;27;3;3;Product 3;Books;Subcat A;Brand W;26;26;Customer 26;Texas;Male;26-35;1;Website;3693.60;9;2;4.45;f
114;2023-04-24;2023;2;4;17;24;9;9;Product 9;Toys;Subcat A;Brand Y;43;43;Customer 43;Florida;Female;46-55;1;Website;3407.20;10;4;4.95;f
118;2023-04-28;2023;2;4;17;28;11;11;Product 11;Clothing;Subcat C;Brand W;28;28;Customer 28;New York;Male;46-55;2;Mobile App;129.48;1;3;3.58;f
216;2023-08-04;2023;3;8;31;4;33;33;Product 33;Books;Subcat A;Brand Y;90;90;Customer 90;Texas;Male;18-25;1;Website;293.15;5;1;3.66;f
288;2023-10-15;2023;4;10;41;15;37;37;Product 37;Home & Garden;Subcat B;Brand Y;98;98;Customer 98;Texas;Male;46-55;2;Mobile App;1186.20;6;1;4.76;f
120;2023-04-30;2023;2;4;17;30;41;41;Product 41;Clothing;Subcat C;Brand Y;76;76;Customer 76;New York;Male;26-35;1;Website;2767.73;7;2;3.80;f
282;2023-10-09;2023;4;10;41;9;42;42;Product 42;Home & Garden;Subcat A;Brand Z;75;75;Customer 75;Florida;Female;18-25;2;Mobile App;785.34;9;4;4.40;f
14;2023-01-14;2023;1;1;2;14;43;43;Product 43;Books;Subcat B;Brand W;71;71;Customer 71;Florida;Female;26-35;1;Website;1065.18;3;2;4.67;f
271;2023-09-28;2023;3;9;39;28;14;14;Product 14;Toys;Subcat C;Brand Z;67;67;Customer 67;Florida;Female;36-45;2;Mobile App;3261.50;10;4;3.32;f
27;2023-01-27;2023;1;1;4;27;12;12;Product 12;Home & Garden;Subcat A;Brand X;56;56;Customer 56;New York;Male;26-35;2;Mobile App;1508.30;10;1;3.54;f
97;2023-04-07;2023;2;4;14;7;36;36;Product 36;Clothing;Subcat A;Brand X;36;36;Customer 36;New York;Male;26-35;1;Website;3586.03;7;3;4.88;f
265;2023-09-22;2023;3;9;38;22;42;42;Product 42;Home & Garden;Subcat A;Brand Z;22;22;Customer 22;Texas;Male;36-45;1;Website;2162.16;6;5;4.01;f
109;2023-04-19;2023;2;4;16;19;48;48;Product 48;Books;Subcat A;Brand X;38;38;Customer 38;Texas;Male;46-55;2;Mobile App;1340.37;3;4;4.73;f
143;2023-05-23;2023;2;5;21;23;7;7;Product 7;Home & Garden;Subcat B;Brand W;36;36;Customer 36;New York;Male;26-35;1;Website;866.05;5;5;3.52;f
281;2023-10-08;2023;4;10;40;8;39;39;Product 39;Toys;Subcat A;Brand W;70;70;Customer 70;Texas;Male;18-25;1;Website;1624.75;5;3;3.63;f
74;2023-03-15;2023;1;3;11;15;6;6;Product 6;Clothing;Subcat A;Brand Z;48;48;Customer 48;New York;Male;46-55;1;Website;1657.70;5;4;4.66;f
145;2023-05-25;2023;2;5;21;25;3;3;Product 3;Books;Subcat A;Brand W;51;51;Customer 51;Florida;Female;26-35;2;Mobile App;259.72;4;3;3.02;f
185;2023-07-04;2023;3;7;27;4;16;16;Product 16;Clothing;Subcat B;Brand X;72;72;Customer 72;New York;Male;36-45;2;Mobile App;2327.36;8;4;3.55;f
136;2023-05-16;2023;2;5;20;16;31;31;Product 31;Clothing;Subcat B;Brand W;30;30;Customer 30;Texas;Male;18-25;1;Website;816.82;2;1;3.35;f
70;2023-03-11;2023;1;3;10;11;9;9;Product 9;Toys;Subcat A;Brand Y;35;35;Customer 35;Florida;Female;18-25;1;Website;271.70;2;3;4.81;f
155;2023-06-04;2023;2;6;22;4;8;8;Product 8;Books;Subcat C;Brand X;96;96;Customer 96;New York;Male;26-35;1;Website;2709.72;6;3;3.97;f
119;2023-04-29;2023;2;4;17;29;3;3;Product 3;Books;Subcat A;Brand W;46;46;Customer 46;Texas;Male;26-35;2;Mobile App;3411.12;8;3;3.12;f
196;2023-07-15;2023;3;7;28;15;18;18;Product 18;Books;Subcat A;Brand Z;95;95;Customer 95;Florida;Female;18-25;2;Mobile App;255.90;1;3;3.28;f
121;2023-05-01;2023;2;5;18;1;26;26;Product 26;Clothing;Subcat C;Brand Z;51;51;Customer 51;Florida;Female;26-35;1;Website;859.05;3;1;3.25;f
161;2023-06-10;2023;2;6;23;10;8;8;Product 8;Books;Subcat C;Brand X;71;71;Customer 71;Florida;Female;26-35;1;Website;219.78;9;4;4.15;f
194;2023-07-13;2023;3;7;28;13;41;41;Product 41;Clothing;Subcat C;Brand Y;68;68;Customer 68;New York;Male;46-55;2;Mobile App;225.36;8;3;3.05;f
233;2023-08-21;2023;3;8;34;21;36;36;Product 36;Clothing;Subcat A;Brand X;16;16;Customer 16;New York;Male;26-35;2;Mobile App;3804.84;9;1;3.80;f
306;2023-11-02;2023;4;11;44;2;47;47;Product 47;Home & Garden;Subcat C;Brand W;90;90;Customer 90;Texas;Male;18-25;2;Mobile App;712.64;2;2;3.11;f
278;2023-10-05;2023;4;10;40;5;8;8;Product 8;Books;Subcat C;Brand X;30;30;Customer 30;Texas;Male;18-25;1;Website;279.17;1;4;3.59;f
104;2023-04-14;2023;2;4;15;14;3;3;Product 3;Books;Subcat A;Brand W;10;10;Customer 10;Texas;Male;18-25;1;Website;132.12;4;3;3.57;f
262;2023-09-19;2023;3;9;38;19;23;23;Product 23;Books;Subcat C;Brand W;16;16;Customer 16;New York;Male;26-35;2;Mobile App;271.91;1;3;3.13;f
144;2023-05-24;2023;2;5;21;24;2;2;Product 2;Home & Garden;Subcat C;Brand Z;27;27;Customer 27;Florida;Female;36-45;1;Website;1438.62;3;2;3.94;f
104;2023-04-14;2023;2;4;15;14;23;23;Product 23;Books;Subcat C;Brand W;46;46;Customer 46;Texas;Male;26-35;2;Mobile App;1166.69;7;5;4.14;f
289;2023-10-16;2023;4;10;42;16;2;2;Product 2;Home & Garden;Subcat C;Brand Z;30;30;Customer 30;Texas;Male;18-25;1;Website;2521.68;8;5;3.74;f
43;2023-02-12;2023;1;2;6;12;44;44;Product 44;Toys;Subcat C;Brand X;82;82;Customer 82;Texas;Male;36-45;2;Mobile App;431.97;1;3;4.72;f
277;2023-10-04;2023;4;10;40;4;2;2;Product 2;Home & Garden;Subcat C;Brand Z;96;96;Customer 96;New York;Male;26-35;1;Website;2659.32;6;4;3.66;f
218;2023-08-06;2023;3;8;31;6;24;24;Product 24;Toys;Subcat A;Brand X;75;75;Customer 75;Florida;Female;18-25;1;Website;2009.79;9;2;4.72;f
267;2023-09-24;2023;3;9;38;24;49;49;Product 49;Toys;Subcat B;Brand Y;51;51;Customer 51;Florida;Female;26-35;1;Website;4868.60;10;3;3.59;f
9;2023-01-09;2023;1;1;2;9;9;9;Product 9;Toys;Subcat A;Brand Y;60;60;Customer 60;New York;Male;18-25;2;Mobile App;4332.33;9;2;4.75;f
179;2023-06-28;2023;2;6;26;28;12;12;Product 12;Home & Garden;Subcat A;Brand X;58;58;Customer 58;Texas;Male;46-55;2;Mobile App;3024.42;7;2;4.30;f
120;2023-04-30;2023;2;4;17;30;39;39;Product 39;Toys;Subcat A;Brand W;46;46;Customer 46;Texas;Male;26-35;2;Mobile App;3231.20;7;5;3.14;f
205;2023-07-24;2023;3;7;30;24;22;22;Product 22;Home & Garden;Subcat B;Brand Z;86;86;Customer 86;Texas;Male;26-35;1;Website;4529.25;9;2;3.14;f
162;2023-06-11;2023;2;6;23;11;36;36;Product 36;Clothing;Subcat A;Brand X;48;48;Customer 48;New York;Male;46-55;2;Mobile App;3104.00;8;2;3.09;f
6;2023-01-06;2023;1;1;1;6;47;47;Product 47;Home & Garden;Subcat C;Brand W;51;51;Customer 51;Florida;Female;26-35;2;Mobile App;1724.40;10;3;4.10;f
64;2023-03-05;2023;1;3;9;5;2;2;Product 2;Home & Garden;Subcat C;Brand Z;18;18;Customer 18;Texas;Male;46-55;2;Mobile App;222.95;5;4;4.90;f
318;2023-11-14;2023;4;11;46;14;26;26;Product 26;Clothing;Subcat C;Brand Z;31;31;Customer 31;Florida;Female;26-35;2;Mobile App;72.15;3;2;4.07;f
21;2023-01-21;2023;1;1;3;21;22;22;Product 22;Home & Garden;Subcat B;Brand Z;42;42;Customer 42;Texas;Male;36-45;1;Website;1377.00;5;3;3.73;f
71;2023-03-12;2023;1;3;10;12;49;49;Product 49;Toys;Subcat B;Brand Y;55;55;Customer 55;Florida;Female;18-25;1;Website;1277.36;4;1;4.24;f
41;2023-02-10;2023;1;2;6;10;12;12;Product 12;Home & Garden;Subcat A;Brand X;6;6;Customer 6;Texas;Male;26-35;1;Website;571.34;11;2;4.31;f
248;2023-09-05;2023;3;9;36;5;26;26;Product 26;Clothing;Subcat C;Brand Z;18;18;Customer 18;Texas;Male;46-55;2;Mobile App;1023.66;2;5;3.21;f
22;2023-01-22;2023;1;1;3;22;33;33;Product 33;Books;Subcat A;Brand Y;82;82;Customer 82;Texas;Male;36-45;2;Mobile App;1296.00;4;4;4.85;f
281;2023-10-08;2023;4;10;40;8;42;42;Product 42;Home & Garden;Subcat A;Brand Z;28;28;Customer 28;New York;Male;46-55;2;Mobile App;4237.11;9;3;3.59;t
19;2023-01-19;2023;1;1;3;19;3;3;Product 3;Books;Subcat A;Brand W;3;3;Customer 3;Florida;Female;46-55;1;Website;192.65;5;2;3.58;f
206;2023-07-25;2023;3;7;30;25;2;2;Product 2;Home & Garden;Subcat C;Brand Z;70;70;Customer 70;Texas;Male;18-25;1;Website;3180.72;8;1;4.08;f
67;2023-03-08;2023;1;3;10;8;18;18;Product 18;Books;Subcat A;Brand Z;40;40;Customer 40;New York;Male;18-25;2;Mobile App;201.60;4;2;4.78;f
16;2023-01-16;2023;1;1;3;16;38;38;Product 38;Books;Subcat C;Brand Z;66;66;Customer 66;Texas;Male;26-35;2;Mobile App;1361.50;10;3;3.75;f
254;2023-09-11;2023;3;9;37;11;18;18;Product 18;Books;Subcat A;Brand Z;58;58;Customer 58;Texas;Male;46-55;1;Website;2461.20;6;3;3.32;f
202;2023-07-21;2023;3;7;29;21;24;24;Product 24;Toys;Subcat A;Brand X;92;92;Customer 92;New York;Male;36-45;2;Mobile App;4096.08;9;5;3.84;f
195;2023-07-14;2023;3;7;28;14;24;24;Product 24;Toys;Subcat A;Brand X;66;66;Customer 66;Texas;Male;26-35;2;Mobile App;1583.28;4;4;4.99;f
292;2023-10-19;2023;4;10;42;19;16;16;Product 16;Clothing;Subcat B;Brand X;6;6;Customer 6;Texas;Male;26-35;2;Mobile App;324.70;1;1;4.44;f
265;2023-09-22;2023;3;9;38;22;34;34;Product 34;Toys;Subcat B;Brand Z;72;72;Customer 72;New York;Male;36-45;1;Website;3035.12;11;3;4.23;f
66;2023-03-07;2023;1;3;10;7;38;38;Product 38;Books;Subcat C;Brand Z;86;86;Customer 86;Texas;Male;26-35;1;Website;1243.69;7;3;4.47;f
308;2023-11-04;2023;4;11;44;4;48;48;Product 48;Books;Subcat A;Brand X;28;28;Customer 28;New York;Male;46-55;1;Website;2464.74;9;4;4.01;f
276;2023-10-03;2023;4;10;40;3;31;31;Product 31;Clothing;Subcat B;Brand W;88;88;Customer 88;New York;Male;46-55;2;Mobile App;1880.15;5;3;3.69;f
215;2023-08-03;2023;3;8;31;3;28;28;Product 28;Books;Subcat B;Brand X;48;48;Customer 48;New York;Male;46-55;2;Mobile App;1740.60;5;4;4.87;t
307;2023-11-03;2023;4;11;44;3;38;38;Product 38;Books;Subcat C;Brand Z;31;31;Customer 31;Florida;Female;26-35;1;Website;951.94;2;2;3.22;f
285;2023-10-12;2023;4;10;41;12;49;49;Product 49;Toys;Subcat B;Brand Y;2;2;Customer 2;Texas;Male;36-45;1;Website;2201.60;10;1;4.03;f
190;2023-07-09;2023;3;7;27;9;2;2;Product 2;Home & Garden;Subcat C;Brand Z;100;100;Customer 100;New York;Male;18-25;1;Website;501.93;9;1;3.72;f
254;2023-09-11;2023;3;9;37;11;36;36;Product 36;Clothing;Subcat A;Brand X;22;22;Customer 22;Texas;Male;36-45;2;Mobile App;879.30;5;1;3.69;f
26;2023-01-26;2023;1;1;4;26;42;42;Product 42;Home & Garden;Subcat A;Brand Z;86;86;Customer 86;Texas;Male;26-35;2;Mobile App;1392.60;4;2;3.46;t
75;2023-03-16;2023;1;3;11;16;24;24;Product 24;Toys;Subcat A;Brand X;47;47;Customer 47;Florida;Female;36-45;2;Mobile App;268.54;1;4;4.99;f
75;2023-03-16;2023;1;3;11;16;16;16;Product 16;Clothing;Subcat B;Brand X;100;100;Customer 100;New York;Male;18-25;1;Website;2218.86;7;2;4.72;f
166;2023-06-15;2023;2;6;24;15;39;39;Product 39;Toys;Subcat A;Brand W;91;91;Customer 91;Florida;Female;26-35;2;Mobile App;540.20;4;3;4.66;f
333;2023-11-29;2023;4;11;48;29;36;36;Product 36;Clothing;Subcat A;Brand X;68;68;Customer 68;New York;Male;46-55;2;Mobile App;2443.80;10;2;4.39;f
17;2023-01-17;2023;1;1;3;17;2;2;Product 2;Home & Garden;Subcat C;Brand Z;100;100;Customer 100;New York;Male;18-25;2;Mobile App;3886.96;8;1;4.96;f
154;2023-06-03;2023;2;6;22;3;8;8;Product 8;Books;Subcat C;Brand X;12;12;Customer 12;New York;Male;36-45;2;Mobile App;57.38;2;5;3.24;f
133;2023-05-13;2023;2;5;19;13;47;47;Product 47;Home & Garden;Subcat C;Brand W;32;32;Customer 32;New York;Male;36-45;1;Website;2146.14;9;1;3.94;f
268;2023-09-25;2023;3;9;39;25;49;49;Product 49;Toys;Subcat B;Brand Y;50;50;Customer 50;Texas;Male;18-25;1;Website;350.40;6;3;4.93;f
288;2023-10-15;2023;4;10;41;15;24;24;Product 24;Toys;Subcat A;Brand X;2;2;Customer 2;Texas;Male;36-45;2;Mobile App;3650.16;8;3;4.24;f
305;2023-11-01;2023;4;11;44;1;42;42;Product 42;Home & Garden;Subcat A;Brand Z;63;63;Customer 63;Florida;Female;46-55;2;Mobile App;184.78;1;3;3.21;f
